#name	rank	LBI
X_C2_|_A_ALABAMA_02_2012	1	0.705886738987
C2_|_A_CALIFORNIA_20_2012	2	0.705885183253
C2_|_A_RHODE_ISLAND_01_2012	3	0.699390433033
C3_|_A_RHODE_ISLAND_01_2012	4	0.699390433033
MX_C1_|_A_TEXAS_111_2012	5	0.692336899393
C2_|_A_TEXAS_82_2012	6	0.686738090685
C1_|_A_IOWA_15_2012	7	0.686738090685
M1_C1_|_A_GEORGIA_01_2012	8	0.611697941974
M1_C1_|_A_TEXAS_06_2012	9	0.606767566229
C2_|_A_MAINE_04_2012	10	0.504142196719
C2_|_A_MISSOURI_06_2012	11	0.461714902294
C2_|_A_TEXAS_115_2012	12	0.411824666246
M1_C1_|_A_IDAHO_23_2012	13	0.411824666246
C2_|_A_COLORADO_20_2012	14	0.391301676044
M1_C1_|_A_NEVADA_20_2012	15	0.372505865086
C1_|_A_HAWAII_21_2012	16	0.369626763143
C2_|_A_WASHINGTON_52_2012	17	0.361540621261
C2_|_A_WISCONSIN_38_2012	18	0.347015284668
C3_|_A_HAWAII_22_2012	19	0.343155326673
C1_|_A_HAWAII_22_2012	20	0.343155326673
C1_|_A_OHIO_76_2012	21	0.329448478485
C2_|_A_DELAWARE_04_2012	22	0.329439298271
C1_|_A_MISSISSIPPI_01_2012	23	0.317933453475
C2_C1_|_A_ST__LUCIA_2073_2012	24	0.296658362078
C2_|_A_CONNECTICUT_02_2012	25	0.292517021505
M1_C2_|_A_KENTUCKY_17_2012	26	0.289330080983
C2_|_A_WYOMING_11_2012	27	0.276506186913
C2_|_A_ALASKA_16_2012	28	0.268246190709
M1_C2_|_A_NEVADA_16_2012	29	0.255294576352
C2_C1_|_A_NEW_YORK_16_2012	30	0.248702896937
C1_|_A_VIRGINIA_02_2012	31	0.240620669889
C2_|_A_KENTUCKY_06_2012	32	0.238510048195
C2_|_A_COLORADO_11_2012	33	0.237947561689
MX_C2_|_A_OKLAHOMA_02_2012	34	0.237947561689
C2_|_A_CALIFORNIA_46_2012	35	0.23537152292
C2_|_A_NEBRASKA_11_2012	36	0.23537152292
M1_C1_|_A_VERMONT_19_2012	37	0.23537152292
M1_C1_|_A_NEVADA_36_2012	38	0.22957187227
C2_|_A_UTAH_27_2012	39	0.229564298055
C1_|_A_MINNESOTA_17_2012	40	0.229561773454
C2_|_A_WASHINGTON_53_2012	41	0.229558070828
C1_|_A_CALIFORNIA_42_2012	42	0.229447592473
M1_C2_|_A_NEW_MEXICO_24_2012	43	0.228219861185
M1_C2_|_A_SOUTH_CAROLINA_16_2012	44	0.219077743381
M1_C1_|_A_MICHIGAN_03_2012	45	0.21774918569
C2_|_A_NEW_JERSEY_08_2012	46	0.215241057266
M1_C2_|_A_VERMONT_16_2012	47	0.211516318831
M1_C2_|_A_NEVADA_15_2012	48	0.211089721998
C1_|_A_ALASKA_04_2012	49	0.205788568768
M1_C2_|_A_MICHIGAN_07_2012	50	0.204138601705
C2_|_A_WISCONSIN_41_2012	51	0.199094782567
C1_|_A_HAWAII_25_2012	52	0.197294219347
C1_C1_|_A_HAWAII_30_2012	53	0.197263484273
C1_|_A_NEW_HAMPSHIRE_11_2012	54	0.197231189895
C2_|_A_NEW_YORK_38_2012	55	0.197231189895
C1_|_A_TEXAS_20_2012	56	0.196632226543
M1_C2_|_A_OREGON_04_2012	57	0.184120528212
M1_C2_|_A_INDIANA_04_2012	58	0.181242282346
M1_C2_|_A_OREGON_03_2012	59	0.177868515437
M1_C1_|_A_MICHIGAN_22_2012	60	0.174349917574
C2_|_A_OREGON_12_2012	61	0.172625078825
M1_C1_|_A_NEW_YORK_35_2012	62	0.172618753542
C2_|_A_SOUTH_CAROLINA_24_2012	63	0.171952481451
C3_|_A_NEW_YORK_39_2012	64	0.171937557426
MX_C2_|_A_KENTUCKY_14_2012	65	0.168616776757
C1_|_A_WISCONSIN_25_2012	66	0.167722529892
C2_C1_|_A_TENNESSEE_21_2012	67	0.164157827161
C2_|_A_NORTH_CAROLINA_19_2012	68	0.162920375478
M1_C2_|_A_NORTH_CAROLINA_08_2012	69	0.162920375478
C1_|_A_HAWAII_23_2012	70	0.161754480109
C2_|_A_IOWA_07_2012	71	0.157429620768
C2_|_A_KANSAS_01_2012	72	0.157377114509
M1M2_C1_|_A_NORTH_DAKOTA_05_2012	73	0.153055625409
C2_|_A_RHODE_ISLAND_07_2012	74	0.15193524507
PASSAGE_DETAILS__MDCK_AND_MV1_LU_CELLS_|_A_GAINESVILLE_01_2012	75	0.15190127709
C1_|_A_MONTANA_13_2012	76	0.146761288971
M1_C1_|_A_OHIO_02_2012	77	0.143660116468
C2_|_A_MINNESOTA_04_2012	78	0.143041404918
M1_C2_|_A_OREGON_05_2012	79	0.142512698975
C2_|_A_DELAWARE_23_2012	80	0.141302792742
C2_|_A_TENNESSEE_10_2012	81	0.140360386381
M1_C1_|_A_FLORIDA_05_2012	82	0.140148042491
C2_|_A_NEVADA_18_2012	83	0.138280849679
M1_C1_|_A_INDIANA_161_2012	84	0.135223457392
C2_|_A_WISCONSIN_13_2012	85	0.134270447555
C2_|_A_PUERTO_RICO_02_2012	86	0.1332778701
M1_C1_|_A_OHIO_01_2012	87	0.132726271339
C2_|_A_ALASKA_21_2012	88	0.132648674178
C2_|_A_DISTRICT_OF_COLUMBIA_01_2012	89	0.132411326575
C2_C1_|_A_NEW_YORK_04_2012	90	0.131063880845
C2_|_A_NEW_MEXICO_04_2012	91	0.130546624282
C2_|_A_NEW_MEXICO_11_2012	92	0.128751967779
C1_|_A_OHIO_97_2012	93	0.128421838028
C1_|_A_UTAH_23_2012	94	0.128109962339
C2_|_A_TENNESSEE_07_2012	95	0.127359104702
C2_|_A_MINNESOTA_02_2012	96	0.126081650969
C2_|_A_LOUISIANA_09_2012	97	0.125723507966
C1_|_A_PENNSYLVANIA_16_2012	98	0.125407359611
M2_C1_|_A_GEORGIA_16_2012	99	0.125396909744
C2_|_A_MAINE_08_2012	100	0.125113382955
