#name	rank	LBI
E4_E1_|_A_HAWAII_22_2012	1	0.187202248107
E3_|_A_HAWAII_22_2012	2	0.187202248107
E4_|_A_HAWAII_22_2012	3	0.187202248107
E3_|_A_HAWAII_25_2012	4	0.137962019033
E3_|_A_NEW_YORK_38_2012	5	0.130888480815
E3_|_A_NEW_HAMPSHIRE_11_2012	6	0.130888480815
E4_|_A_TEXAS_50_2012	7	0.128111246447
E5_|_A_TEXAS_50_2012	8	0.128111246447
E3_E1_|_A_VIRGINIA_05_2012	9	0.127988775038
E3_|_A_VIRGINIA_05_2012	10	0.127988775038
E5_E1_|_A_MARYLAND_02_2012	11	0.127886827143
E5_E2_|_A_MARYLAND_02_2012	12	0.127886827143
E4_E2_E1_|_A_OHIO_02_2012	13	0.127881033204
E4_E1_|_A_OHIO_02_2012	14	0.127881033204
E4E8_E1__1_|_A_NEW_YORK_39_2012__X_233A_	15	0.127880699438
E4E8_E1_|_A_NEW_YORK_39_2012__X_233_	16	0.127880699438
E3_|_A_NEW_HAMPSHIRE_16_2012	17	0.125058994556
E3_|_A_NEVADA_20_2012	18	0.125054370416
E3_|_A_VERMONT_28_2012	19	0.12502698887
E4_|_A_COLORADO_18_2012	20	0.125000423732
