Observed S Changes	Observed NS Changes	E[S Sites]	E[NS Sites]	Observed S. Prop.	P{S}	dS	dN	dN-dS	P{S leq. observed}	P{S geq. observed}	Scaled dN-dS
0	0	0	2.999999999999999	0	0	0	0	0	0	0	0
0	0	0.8313819385000499	2.042664126949529	0	0.2892723079475064	0	0	0	0	0	0
1	0	0.9999999999999997	1.999999999999999	1	0.3333333333333333	1	0	-1	1	0.3333333333333333	-4.889801404574656
0	0	0.9051341244155426	2.094865875584456	0	0.301711374805181	0	0	0	0	0	0
0	0	0.9051341244155428	2.094865875584456	0	0.3017113748051811	0	0	0	0	0	0
1	0	0.9999999999999998	2	1	0.3333333333333334	1	0	-1	1	0.3333333333333334	-4.889801404574655
0	0	1.585696702769391	1.263483937084406	0	0.5565448117219971	0	0	0	0	0	0
0	0	0.7543147642693405	2.245685235730658	0	0.2514382547564469	0	0	0	0	0	0
0	0	0.7543147642693405	1.999999999999999	0	0.2738665798313157	0	0	0	0	0	0
0	0	0.9051341244155428	2.094865875584456	0	0.3017113748051811	0	0	0	0	0	0
0	0	1.75431476426934	1.245685235730659	0	0.5847715880897802	0	0	0	0	0	0
0	0	0.7543147642693406	2.094865875584456	0	0.2647479607709421	0	0	0	0	0	0
0	0	1.75431476426934	1.245685235730659	0	0.5847715880897802	0	0	0	0	0	0
0	0	0.9999999999999997	1.999999999999999	0	0.3333333333333333	0	0	0	0	0	0
0	1	0.7549667055397014	2.245033294460298	0	0.2516555685132338	0	0.445427692528007	0.445427692528007	0.7483444314867662	0.2516555685132338	2.178052956559895
0	1	0.9999999999999998	2	0	0.3333333333333334	0	0.5000000000000001	0.5000000000000001	0.6666666666666666	0.3333333333333334	2.444900702287327
0	0	0.7812520193989942	1.464433216331664	0	0.3478902594934704	0	0	0	0	0	0
1	0	0.7816867595963428	2.092359305853237	1	0.2719812911120009	1.279284812904331	0	-1.279284812904331	1	0.2719812911120009	-6.25544867499062
0	3	0.9593600013257179	2.040639998674281	0	0.3197866671085727	0	1.47012701992952	1.47012701992952	0.3147280282389789	0.6852719717610211	7.188629166954516
0	0	0.9999999999999997	1.999999999999999	0	0.3333333333333333	0	0	0	0	0	0
0	1	0.9981029584335773	1.917588010816447	0	0.3423212435611138	0	0.5214884502611343	0.5214884502611343	0.6576787564388862	0.3423212435611138	2.549974956556354
0	0	0.7543147642693406	2.245685235730658	0	0.2514382547564469	0	0	0	0	0	0
0	0	0.7543147642693405	2.245685235730658	0	0.2514382547564469	0	0	0	0	0	0
1	0	0.7543147642693406	2.245685235730659	1	0.2514382547564469	1.325706518509736	0	-1.325706518509736	1	0.2514382547564469	-6.482441596262682
0	0	0.7543147642693405	2.245685235730658	0	0.2514382547564469	0	0	0	0	0	0
1	0	0.9999999999999997	1.999999999999999	1	0.3333333333333333	1	0	-1	1	0.3333333333333333	-4.889801404574656
0	0	0.9999999999999997	1.999999999999999	0	0.3333333333333333	0	0	0	0	0	0
